DATE,GENRE,TRACK,ARTIST,CALORIES,EMBED
2022-02-27,Pop,AWOOO!,Rence,131,33C1sEVNSwk1P5nTzQ2Wky?utm_source=generator&theme=0
2022-02-28,-,-,-,0,
2022-03-01,Indie,I'm Tired,"Labrinth, Zendaya",688,6LtHYDgYHRCHoKK3snfr2w?utm_source=generator&theme=0
2022-03-02,Rap,METHHEAD FREESTYLE,Lil Darkie,505,495T3rrTtGF4FRHHvldWjh?utm_source=generator&theme=0
2022-03-03,Pop,AWOOO!,Rence,613,33C1sEVNSwk1P5nTzQ2Wky?utm_source=generator&theme=0
2022-03-04,Pop,AWOOO!,Rence,326,33C1sEVNSwk1P5nTzQ2Wky?utm_source=generator&theme=0
2022-03-05,Pop,Say It Right,Nelly Furtado,732,2aI21FnmY7TJVKeMaoQZ0t?utm_source=generator&theme=0
2022-03-06,-,-,-,0,
2022-03-07,Alternate Indie,Just Existing,daysormay,517,7ouPxsquDNcnsSqnsNRnTq?utm_source=generator&theme=0
2022-03-08,Pop,SO GOOD,Grady,633,4IFKZkPlmMEcNRwic25J9C?utm_source=generator&theme=0
2022-03-09,-,-,-,0,
2022-03-10,Alternate Indie,Missing Piece,Vance Joy,285,5YqdiryRmdAzYFlxo43hAJ?utm_source=generator&theme=0
2022-03-11,-,-,-,0,
2022-03-12,Alternate Indie,Summertime In Paris,"Jaden, WILLOW",503,6XNANAB7sFvkfho6bMCp7o?utm_source=generator&theme=0
2022-03-13,Electronic,Weekend,Clubhouse,523,42QzWxuokSGPklrsoI2Bxl?utm_source=generator&theme=0
2022-03-14,Pop,Photo ID,"Remi Wolf, Dominic Fike",530,1F35Dmog9pekyCVnH1eQpl?utm_source=generator&theme=0
2022-03-15,-,-,-,0,
2022-03-16,-,-,-,0,
2022-03-17,Alternate Indie,ONE IN A MILLION,Rex Orange County,687,2XkDm5m2vPowecEAAR5gmb?utm_source=generator&theme=0
2022-03-18,Alternate Indie,I Think I Met You In A Dream,COIN,484,09MZIpr7ciaUZyxHKb37Mz?utm_source=generator&theme=0
2022-03-19,-,-,-,0,
2022-03-20,Pop,Seeing Blind,"Niall Horan, Mare Morris",323,65wnZsZLKJimfK1cTFOfa1?utm_source=generator&theme=0
2022-03-21,Alternate Indie,IF YOU WANT IT,Rex Orange County,482,2ZZ0ITwRqitCvddi2CGfgq?utm_source=generator&theme=0
2022-03-22,Alternate Indie,Save Myself,Ashe,464,3MBdq6U779PbN8WSfsRZAx?utm_source=generator&theme=0
2022-03-23,Alternate Indie,THREE STRIKES,"HONNE, Khalid",892,7xHpEPNVUnCdiwEbMu62Yz?utm_source=generator&theme=0
2022-03-24,Alternate Indie,A L I E N S,Coldplay,905,6pwvH9LfroBLqd3dez9vBz?utm_source=generator&theme=0
2022-03-25,R&B,Another Sad Love Song,Khalid,512,52Qu0no0NBho3zyRmjlsHn?utm_source=generator&theme=0
2022-03-26,Electronic,Bloodstream,The Chainsmokers,865,26AuyrZGzWWiYZPSd3XBIg?utm_source=generator&theme=0
2022-03-27,Pop,summer&cigarettes,sammy rash,409,5PmtPTXrLqgqQfqngsUqZp?utm_source=generator&theme=0
2022-03-28,Alternate Indie,I Think I Like You,The Band CAMINO,966,6yOxL1xfPkv9Z9zvpNrMDU?utm_source=generator&theme=0
2022-03-29,Rock,Stay the Night,THE JACKS,727,7phmw1oHtZFzsB8RPgYfWA?utm_source=generator&theme=0
2022-03-30,Indie Rock,Ribs,Lorde,858,2MvvoeRt8NcOXWESkxWn3g?utm_source=generator&theme=0
2022-03-31,-,-,-,0,
2022-04-01,Rap,Let It All Work Out,Lil Wayne,1044,3BUWNzPWz2mDbptZmGEXpB?utm_source=generator&theme=0
2022-04-02,-,-,-,0,
2022-04-03,Indie,Frog Song,Gus Glasser,384,6Hb3IjSn891RJ6M89XBsbK?utm_source=generator&theme=0
2022-04-04,Pop,I Keep Seeing People I Don't Want To See (In My Dreams),Fifth Lucky Dragon,591,1hspkhFUuo0YvhgvPSp3zy?utm_source=generator&theme=0
2022-04-05,Pop,As It Was,Harry Styles,740,4LRPiXqCikLlN15c3yImP7?utm_source=generator&theme=0
2022-04-06,Indie,Nothing Between Us,Westover,600,6dUL6nQcwLjQuuarByzfwL?utm_source=generator&theme=0
2022-04-07,-,-,-,0,
2022-04-08,Rap,First Class,Jack Harlow,325,1rDQ4oMwGJI7B4tovsBOxc?utm_source=generator&theme=0
2022-04-09,-,-,-,0,
2022-04-10,-,-,-,0,
2022-04-11,R&B,The Kiss of Venus,"Paul McCartney, Dominic Fike",808,28kOGtTZzbfQ8fMmTwjRFq?utm_source=generator&theme=0
2022-04-12,Alternate Indie,For Elise,Saint Motel,331,6i40XRqEwHAnSxwZWasMRp?utm_source=generator&theme=0
